QTY,INVOICENUMBER,ITEM_DESCRIPTION,MENUDESC
1,1278305,KNEFEH KASHTA/PLT,TABLES
1,1278305,MAFROUKEH/PLT,TABLES
0.5,1278204,KNEFEH CHEESE/PLT,TABLES
1,1278204,MINERAL WATER/0.5L,TABLES
2,1278204,LEBANESE COFFEE,TABLES
1,1278204,BAKLAVA DIPPED IN CHOCOLATE WRAPPED,TABLES
1,1278204,CROISSANT VEGAN PLAIN,TABLES
1,1278272,KNEFEH CHEESE/PLT,TABLES
1,1278272,MCHAKAL KASHTA/PLT,TABLES
0.5,1278272,ZNOUD EL SET/PLT,TABLES
0.5,1278272,ZNOUD EL SET/PLT,TABLES
0.5,1278272,ZNOUD EL SET/PLT,TABLES
0.5,1278272,HALEWET EL JEBEN LAF/PLT,TABLES
0.5,1278272,HALEWET EL JEBEN LAF/PLT,TABLES
0.5,1278272,HALEWET EL JEBEN LAF/PLT,TABLES
1,1278272,HALEWEH LAF TA/PLT,TABLES
2,1278391,KNEFEH CHEESE/PLT,TABLES
1.5,1278391,MIXED BAKLAVA EXTRA,TABLES
1.5,1278391,MIXED BAKLAVA EXTRA,TABLES
1.5,1278391,MIXED BAKLAVA EXTRA,TABLES
1,1278391,TIN PACKAGE 1.5 KG,TABLES
1,1278391,TIN PACKAGE 1.5 KG,TABLES
1,1278391,TIN PACKAGE 1.5 KG,TABLES
1,1278391,KARBOUJ ASABEH PISTACHIO,TABLES
1,1278391,KARBOUJ ASABEH WALNUT,TABLES
1,1278336,KNEFEH CHEESE/PLT,TABLES
1,1278336,KNEFEH CHEESE/PLT,TABLES
1,1278642,KNEFEH CHEESE/PLT,TABLES
1,1278642,MAFROUKEH ALMOND + PISTACHIO/PLT,TABLES
1,1278642,MAFROUKEH ALMOND + PISTACHIO/PLT,TABLES
1,1278642,MAFROUKEH/PLT,TABLES
1,1278642,MINERAL WATER/1.5L,TABLES
3,1278642,LAHM B AAJIN/PLT,TABLES
0.5,1278642,LAHM B AAJIN/PLT,TABLES
0.2,1278642,MAFROUKEH PISTACHIO,TABLES
0.2,1278642,MAFROUKEH PISTACHIO,TABLES
1,1278642,Take Away ,TABLES
1,1278642,Take Away ,TABLES
1,1278642,HALEWET EL REZ KASHTA/PLT,TABLES
1,1278540,KNEFEH CHEESE/PLT,TABLES
1,1278540,KNEFEH KASHTA/PLT,TABLES
1,1278540,MINERAL WATER/1.5L,TABLES
1,1278540,JAZARIYEH MAALOUFEH,TABLES
0.2,1278540,NAMMOURA SIYAMI,TABLES
1.8,1278540,NAMMOURA SIYAMI,TABLES
1,1278540,CROISSANT VEGAN THYME,TABLES
1,1278571,KNEFEH CHEESE/PLT,TAKE AWAY
1,1278571,KAAK KNEFEH CHEESE,TAKE AWAY
1,1278753,KNEFEH CHEESE/PLT,TAKE AWAY
2,1278680,KNEFEH CHEESE/PLT,TABLES
1,1278680,MINERAL WATER/0.5L,TABLES
2,1278681,KNEFEH CHEESE/PLT,TABLES
1,1278681,MINERAL WATER/0.5L,TABLES
1,1278682,KNEFEH CHEESE/PLT,TABLES
1,1278682,ZNOUD EL SET/PLT,TABLES
1,1278868,KNEFEH CHEESE/PLT,TABLES
1,1278868,KNEFEH CHEESE/PLT,TABLES
1,1278868,KNEFEH CHEESE/PLT,TABLES
1,1278868,MINERAL WATER/0.5L,TABLES
1,1278868,KNEFEH KASHTA/PLT,TABLES
1,1278868,KNEFEH KASHTA/PLT,TABLES
1,1278868,MINERAL WATER/1.5L,TABLES
3,1278868,ICE CREAM 3 SCOOP,TABLES
1,1279156,KNEFEH CHEESE/PLT,TAKE AWAY
0.5,1279156,ZNOUD EL SET,TAKE AWAY
2,1279159,KNEFEH CHEESE/PLT,TABLES
1,1279165,KNEFEH CHEESE/PLT,TAKE AWAY
1,1279165,ADD SUGAR FREE SYRUP,TAKE AWAY
0.0001,1279165,MCHAKAL KASHTA,TAKE AWAY
1,1279168,KNEFEH CHEESE/PLT,TABLES
2,1279168,BASMA COLD/PLT,TABLES
1,1279168,SWISS ROLL VANILLA/PC,TABLES
1,1279168,SWISS ROLL CHOCOLATE/PC,TABLES
1,1279168,CORTINA/PC,TABLES
1,1279168,BROWNIES W/O ICE/PC,TABLES
1,1279228,KNEFEH CHEESE/PLT,TAKE AWAY
1,1279228,ADD SUGAR FREE SYRUP,TAKE AWAY
1,1279228,ADD SUGAR FREE SYRUP,TAKE AWAY
1,1279228,HALEWET EL JEBEN/PLT,TAKE AWAY
1,1279228,W/O Kashta,TAKE AWAY
3,1279239,KNEFEH CHEESE/PLT,TABLES
1,1279239,MINERAL WATER/0.5L,TABLES
3,1279412,KNEFEH CHEESE/PLT,TAKE AWAY
1.15,1279412,HALEWET EL REZ CHEESE,TAKE AWAY
1,1279426,KNEFEH CHEESE/PLT,TAKE AWAY
1,1279426,KAAK KNEFEH CHEESE,TAKE AWAY
1,1279585,KNEFEH CHEESE/PLT,TABLES
1,1279585,KAAK KNEFEH KASHTA,TABLES
1,1279686,KNEFEH CHEESE/PLT,TABLES
2,1279686,MINERAL WATER/0.5L,TABLES
1,1279686,MAFROUKEH/PLT,TABLES
3,1279686,LAHM B AAJIN/PLT,TABLES
1,1279686,LEBANESE COFFEE,TABLES
1,1279686,HALEWET EL REZ KASHTA/PLT,TABLES
1,1279686,PEPSI DIET/330ML,TABLES
0.5,1279694,KNEFEH CHEESE/PLT,TABLES
1,1279694,ADD SUGAR FREE SYRUP,TABLES
1,1279694,MINERAL WATER/0.5L,TABLES
0.5,1279694,KNEFEH KASHTA/PLT,TABLES
1,1279694,LAHM B AAJIN/PLT,TABLES
1,1279759,KNEFEH CHEESE/PLT,TAKE AWAY
1.5,1279759,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1279759,Sugar Syrup Aside,TAKE AWAY
1,1279772,KNEFEH CHEESE/PLT,TABLES
1,1279772,KNEFEH KASHTA/PLT,TABLES
3,1279772,Ice Cream 1 Scoop ,TABLES
1,1279772,NUTELLA/PC,TABLES
3,1279772,KAAK FRANJI PLAIN,TABLES
2,1269963,ADD SUGAR FREE SYRUP,TAKE AWAY
2,1269963,KAAK KNEFEH KASHTA,TAKE AWAY
1,1269987,ADD SUGAR FREE SYRUP,DELIVERY
1,1269987,KAAK KNEFEH KASHTA,DELIVERY
1,1269987,KAAK KNEFEH CHEESE,DELIVERY
1,1270239,ADD SUGAR FREE SYRUP,TAKE AWAY
1,1270239,KAAK KNEFEH CHEESE,TAKE AWAY
1,1270239,KAAK KNEFEH CHEESE,TAKE AWAY
1,1270239,CROISSANT KNEFEH CHEESE,TAKE AWAY
