QTY,INVOICENUMBER,ITEM_DESCRIPTION,MENUDESC
-0.5,1270449,MIXED BAKLAVA EXTRA SAFAR,TABLES
-1,1272426,MIXED BAKLAVA EXTRA,TABLES
-1,1272433,FORET BLANCHE N:0,DELIVERY
-1,1272433,COMPLIMENTARY KNIFE,DELIVERY
-1,20024244,COMPLIMENTARY KNIFE,TAKE AWAY
-1,20024244,FORET NOIRE N:4,TAKE AWAY
-1,20024305,COMPLIMENTARY KNIFE,DELIVERY
-1,20024305,TART STRAWBERRY N:0,DELIVERY
-1,20024274,KAAK KNEFEH KASHTA,DELIVERY
-2,20024321,MCHAKAL KASHTA,DELIVERY
-1,20024372,MIXED BAKLAVA EXTRA,TAKE AWAY
-1,20024372,MIXED BAKLAVA EXTRA,TAKE AWAY
-1,20024372,Kashta Aside,TAKE AWAY
-1,20024372,MAFROUKEH,TAKE AWAY
-2,20024423,MIXED BAKLAVA EXTRA,DELIVERY
-2,20024423,MIXED BAKLAVA EXTRA,DELIVERY
-1,20024423,MIXED BAKLAVA EXTRA,DELIVERY
-0.5,1271753,MIXED BAKLAVA SUGAR FREE,TABLES
-0.5,1271753,MIXED BAKLAVA SUGAR FREE SAFAR,TABLES
-20,20024233,COTTON CANDY/PC,DELIVERY
-1,20024233,COTTON CANDY/PC,DELIVERY
-1,20024233,PETIT FOUR MIX LARGE/PKT,DELIVERY
-2,20024233,PETIT FOUR EXTRA LARGE/PKT,DELIVERY
-1,20024233,PETIT FOUR EXTRA LARGE/PKT,DELIVERY
-2,20024233,PETIT FOUR EXTRA SMALL/PKT,DELIVERY
-2,20024247,KAAK KNEFEH CHEESE,TAKE AWAY
-1,20024262,KAAK KNEFEH CHEESE,TAKE AWAY
-1,20024287,KAAK KNEFEH CHEESE,TAKE AWAY
-2,20024287,KAAK MAFROUKEH,TAKE AWAY
-1,20024260,CHOCOLATE BAR MILK/100G,TAKE AWAY
-1,20024260,CHOCOLATE BAR DARK/100G,TAKE AWAY
-1,20024277,HALEWET EL JEBEN LAF,TAKE AWAY
-1,20024261,LAHM B AAJIN/PLT,TAKE AWAY
-1,20024371,FATAYER KASHTA LARGE,TAKE AWAY
-1,20024371,MAAMOUL CHEESE MINI/PC,TAKE AWAY
-1,20024316,Ice Cream 1 Scoop ,DELIVERY
-24,20024316,LAHM B AAJIN SQUARE/PC,DELIVERY
-1,20024316,JAZARIYEH MAALOUFEH,DELIVERY
-1,20024316,KARBOUJ MAD PISTACHIO,DELIVERY
-1,20024316,KARBOUJ MAD PISTACHIO,DELIVERY
-1,20024316,W/ POMEGRENATE MOLLASSES,DELIVERY
-0.07,20024226,MAFROUKEH PISTACHIO,TAKE AWAY
-1,20024226,HALEWET EL JEBEN,TAKE AWAY
-0.07,20024227,MAFROUKEH PISTACHIO,TAKE AWAY
-1.5,20024227,HALEWET EL JEBEN,TAKE AWAY
-2,1273485,N.B.,Call Center
-1,1273485,DELICE FRAISE N:4,Call Center
-1,20024220,KAAK KNEFEH CHEESE FRANJI,TAKE AWAY
-0.5,20024393,WARD EL SHAM,TAKE AWAY
-1,20024225,CROISSANT AU BEURRE OLIVE,TAKE AWAY
-1,1278783,WARD EL KASER,Call Center
-1,1278783,BON INTAJ,Call Center
,,,
-1,1275280,MAAMOUL MAD WALNUT,TABLES
-0.5,1272593,JAZARIYEH MAALOUFEH,Call Center
-1,1277871,LAHM B AJIN DOZEN,DELIVERY
-1,1273198,COMPLIMENTARY KNIFE,Call Center
-2,1273198,N.B.,Call Center
-1,1273198,Gateau Lite N:2,Call Center
-2,1276283,CROISSANT CHEESE AU BEURRE,DELIVERY
-1.5,1274773,HALEWET EL REZ KASHTA,WhatsApp
-5,1274360,MAAMOUL KASHTA PISTACHIO,DELIVERY
-0.5,1275041,MIXED BAKLAVA SUGAR FREE,DELIVERY
-0.5,1275041,MIXED BAKLAVA SUGAR FREE,DELIVERY
-1,1278646,LAHM B AAJIN/PLT,TABLES
-1,1278646,LAHM B AAJIN/PLT,TABLES
-1,20024388,MIXED BAKLAVA EXTRA,TAKE AWAY
-1,20024388,Kashta Aside,TAKE AWAY
-1,20024388,MAFROUKEH,TAKE AWAY
-15,20024388,EMPTY ARABIC KAAK,TAKE AWAY
-1,1279194,MAAMOUL DATE MINI,DELIVERY
-1,1275675,CHOCOLAT MOU SMALL,TABLES
-1,1271764,MAAMOUL DATE MINI,DELIVERY
-1,1271764,MAAMOUL DATE MINI,DELIVERY
-0.5,1277428,NAMMOURA SIYAMI,Call Center
-12,1270530,LAHM B AAJIN SQUARE/PC,Call Center
-12,1270530,LAHM B AAJIN SQUARE/PC,Call Center
-24,1270530,W/ POMEGRENATE MOLLASSES,Call Center
-1,1270530,SAFAR,Call Center
-1,1270530,SPECIAL PACKAGE TUPPERWARE 1 KG,Call Center
-1,1273033,LAHM B AAJIN SQUARE/PC,TABLES
-2,20024402,MAAMOUL KASHTA PISTACHIO,TAKE AWAY
-1,20024402,KATAYEF KASHTA/PKT,TAKE AWAY
-0.2,20024402,KASHTA,TAKE AWAY
-0.44,20024399,MAFROUKEH PISTACHIO,TAKE AWAY
-1,20024399,KATAYEF KASHTA/PKT,TAKE AWAY
-0.3,20024399,KASHTA,TAKE AWAY
-5,1274711,CROISSANT CHEESE AU BEURRE,DELIVERY
-1,1278704,MAAMOUL PISTACHIO MINI,DELIVERY
-1,20024209,NAMMOURA,TAKE AWAY
-12,1273668,Maamoul Date/PC,DELIVERY
-12,1273668,Maamoul Date/PC,DELIVERY
-12,1273668,MAAMOUL WALNUT/PC,DELIVERY
-12,1273668,MAAMOUL WALNUT/PC,DELIVERY
-1,1278613,RICHARD N:0,Call Center
-1,1277057,DEL 2.0$,Call Center
-1,1277057,TRUFFLE DATES/PKT,Call Center
-1,1278620,MAAMOUL MAD WALNUT,Call Center
-1,1277152,MIXED BAKLAVA SUGAR FREE SAFAR,Call Center
-0.65,20024413,KATAYEF DOUGH LARGE,TAKE AWAY
-1,1279590,KILLAGE KASHTA FRIED/PC,Call Center
-1,20024400,MHALABIYEH N:1,TAKE AWAY
,,,
,,,
-1,1271240,CROISSANT CHEESE AU BEURRE,TABLES
-1,1271930,MIXED BAKLAVA/PLT,TABLES
-3,1273305,KNEFEH KASHTA/PLT,TABLES
-1,1271129,LAHM B AAJIN/PLT,TABLES
-1,1271129,LAHM B AAJIN/PLT,TABLES
-2,1270469,WARD EL KASER/PC,TABLES
-1,1270999,MIXED BAKLAVA EXTRA SAFAR,DELIVERY
-1,1270999,MIXED BAKLAVA EXTRA SAFAR,DELIVERY
-1,1270999,MIXED BAKLAVA EXTRA SAFAR,DELIVERY
-1,1271062,MIXED BAKLAVA EXTRA SAFAR,Call Center
1,20024250,MIXED BAKLAVA EXTRA SAFAR,Call Center
-1,20024250,MIXED BAKLAVA EXTRA SAFAR,Call Center
-1,20024250,N.B.,Call Center
-1,20024250,N.B.,Call Center
-1,20024250,NAMMOURA,Call Center
-1,20024250,MCHABBAK,Call Center
-1,20024250,MCHABBAK,Call Center
-1,20024250,BAKLAVA SAFAR,Call Center
-1,20024250,BAKLAVA SAFAR,Call Center
-1,20024250,ASABEH SAFAR,Call Center
-1,20024250,ASABEH SAFAR,Call Center
-1,20024250,SFOUF SIYAMI,Call Center
-1,20024250,SFOUF SIYAMI,Call Center
-1,20024250,SPECIAL PACKAGE CARTOON,Call Center
-1,20024250,SPECIAL PACKAGE CARTOON,Call Center
-1,1272048,MIXED BAKLAVA EXTRA SAFAR,DELIVERY
-1,1272048,MIXED BAKLAVA EXTRA SAFAR,DELIVERY
-1,1272048,MIXED BAKLAVA EXTRA SAFAR,DELIVERY
-1,1272048,MAAMOUL MINI MIXED,DELIVERY
-1,1272048,MAAMOUL MINI MIXED,DELIVERY
-1,1272539,TIN PACKAGE 1 KG,Call Center
-1,20024297,MIXED BAKLAVA EXTRA SAFAR,TAKE AWAY
-4,20024297,KAAK KNEFEH CHEESE,TAKE AWAY
-1,1276344,MIXED BAKLAVA EXTRA SAFAR,DELIVERY
-1,1276344,MIXED BAKLAVA EXTRA SAFAR,DELIVERY
-1,1276344,MIXED BAKLAVA EXTRA SAFAR,DELIVERY
-1,1276344,MIXED BAKLAVA EXTRA SAFAR,DELIVERY
-6,1276344,KAAK KNEFEH KASHTA,DELIVERY
-1,1276344,Sugar Syrup Aside,DELIVERY
-1,1277049,MIXED BAKLAVA EXTRA SAFAR,Call Center
-1,1277049,MIXED BAKLAVA EXTRA SAFAR,Call Center
-1,1277049,N.B.,Call Center
-1,1277049,N.B.,Call Center
-1,1277049,MAAMOUL DATE + PISTACHIO MINI,Call Center
-1,1277049,MAAMOUL DATE + PISTACHIO MINI,Call Center
-1,1277049,W/O Heating ,Call Center
-1,1277049,SPECIAL PACKAGE TUPPERWARE 1 KG,Call Center
-1,1277049,BON INTAJ,Call Center
-12,1277049,DJEJ B AAJIN MEDIUM/PC,Call Center
-1,1277422,MIXED BAKLAVA EXTRA SAFAR,TABLES
-1,1277422,MIXED BAKLAVA EXTRA SAFAR,TABLES
-1,1277422,MIXED BAKLAVA EXTRA SAFAR,TABLES
-1,20024374,MIXED BAKLAVA EXTRA SAFAR,TAKE AWAY
-1,20024374,MIXED BAKLAVA EXTRA SAFAR,TAKE AWAY
-1,20024215,KNEFEH CHEESE/PLT,TAKE AWAY
-1.5,20024215,MIXED BAKLAVA EXTRA,TAKE AWAY
-1.5,20024215,MIXED BAKLAVA EXTRA,TAKE AWAY
-1,20024215,MAAMOUL DATE + PISTACHIO MINI,TAKE AWAY
-1,1276583,COMPLIMENTARY KNIFE,TABLES
-1,1276583,DESIRE N:0,TABLES
-3,1277491,MINERAL WATER/0.5L,TABLES
-1,1277623,MIXED BAKLAVA EXTRA,TABLES
-2,1277698,KNEFEH KASHTA/PLT,TABLES
-0.7,20024290,ZNOUD EL SET,TAKE AWAY
-2,20024290,MINERAL WATER/0.5L,TAKE AWAY
-0.3,20024290,HALEWET EL JEBEN LAF,TAKE AWAY
-2,20024290,ICE CREAM 3 SCOOP,TAKE AWAY
-8,20024290,FATAYER WALNUT /PC,TAKE AWAY
-0.5,20024290,BAKLAVA CASHEW,TAKE AWAY
-1,20024290,ICE CREAM KASHTA 2 SCOOP,TAKE AWAY
-0.5,20024290,KOL W SHKOR,TAKE AWAY
-0.5,20024312,ZNOUD EL SET,TAKE AWAY
-2,20024312,KAAK KNEFEH CHEESE,TAKE AWAY
-1,20024312,Sugar Syrup Aside,TAKE AWAY
-6,1276273,LAHM B AAJIN SQUARE/PC,TABLES
-2,1276273,SABLE VANILLA W.S/PC,TABLES
-0.5,20024359,ZNOUD EL SET,TAKE AWAY
-2.5,20024359,EMPTY KAAK FREE,TAKE AWAY
-0.5,20024359,MAAMOUL MAD KASHTA,TAKE AWAY
-0.5,20024359,KNEFEH KASHTA,TAKE AWAY
-0.68,20024368,ZNOUD EL SET,TAKE AWAY
-0.5,1278404,SFOUF,Call Center
-1,1269812,COMPLIMENTARY KNIFE,Call Center
-1,1269812,FORET NOIRE N:1,Call Center
-1,1271034,COMPLIMENTARY KNIFE,DELIVERY
-1,1271034,MAAMOUL DATE MINI,DELIVERY
-1,1271034,FORET NOIRE N:0,DELIVERY
-1,1272083,COMPLIMENTARY KNIFE,DELIVERY
-1,1272083,FORET BLANCHE EXOTIQUE N:1,DELIVERY
-1,1277984,COMPLIMENTARY KNIFE,DELIVERY
-1,1277984,FORET BLANCHE EXOTIQUE N:3,DELIVERY
-1,1278386,COMPLIMENTARY KNIFE,Call Center
-1,1278386,DEL 5.0$,Call Center
-1,1278386,FORET BLANCHE N:1,Call Center
-2,1275630,CROISSANT AU BEURRE THYME,Call Center
-1,20024207,KAAK KNEFEH KASHTA,TAKE AWAY
-1.5,20024207,HALEWET EL JEBEN,TAKE AWAY
-1,20024207,KAAK KNEFEH CHEESE FRANJI,TAKE AWAY
-1,20024303,KAAK KNEFEH KASHTA,TAKE AWAY
-1,20024313,KAAK KNEFEH KASHTA,TAKE AWAY
-1,20024313,MAFROUKEH ALMOND + PISTACHIO/PLT,TAKE AWAY
-4,1275434,KAAK KNEFEH KASHTA,DELIVERY
-2,1276075,CROISSANT CHOCOLATE AU BEURRE,Call Center
-5,20024366,KAAK KNEFEH KASHTA,DELIVERY
-1,20024382,KAAK KNEFEH KASHTA,TAKE AWAY
-1,20024382,KAAK KNEFEH KASHTA,TAKE AWAY
-1,20024382,KAAK KNEFEH CHEESE,TAKE AWAY
-1,20024382,KAAK KNEFEH CHEESE,TAKE AWAY
-0.2,20024382,HALEWET EL JEBEN PLAIN W/SUGAR SYRUP,TAKE AWAY
-1,20024230,MCHAKAL KASHTA,TAKE AWAY
-1,20024230,KATAYEF DOUGH SMALL,TAKE AWAY
-1,20024230,KATAYEF DOUGH LARGE,TAKE AWAY
-1.5,1274701,MCHAKAL KASHTA,Call Center
-1,1276790,MCHAKAL KASHTA,Call Center
-1,1276790,DEL 3.5$,Call Center
-1.5,20024373,MCHAKAL KASHTA,TAKE AWAY
-1.5,20024373,MIXED BAKLAVA EXTRA,TAKE AWAY
-2,20024395,MCHAKAL KASHTA,TAKE AWAY
-2,20024395,MIXED BAKLAVA EXTRA,TAKE AWAY
-1,20024421,MCHAKAL KASHTA,TAKE AWAY
-2,1271002,KASHTA W/HONEY + NUTS/PLT,TABLES
-2,1271561,ESPRESSO SINGLE,TABLES
-1,1273234,HALEWET EL JEBEN/PLT,TABLES
-1,1273364,MINERAL WATER/0.5L,TABLES
-3,1273614,MINERAL WATER/1.5L,TABLES
-1,20024327,MINERAL WATER/0.5L,TAKE AWAY
-1,20024327,CHOCOLATE LOLLIPOP,TAKE AWAY
-1,20024327,Ice Cream 1 Scoop ,TAKE AWAY
-2.5,20024327,MAAMOUL WALNUT MINI,TAKE AWAY
-1,20024327,KAAK KNEFEH KASHTA EXTRA,TAKE AWAY
-1,1278370,PEPSI/330ML,TABLES
-1,1279663,MINERAL WATER/0.5L,TABLES
-1.5,20024208,MIXED BAKLAVA EXTRA,DELIVERY
-1,1271658,MIXED BAKLAVA EXTRA,DELIVERY
-2,1272130,MIXED BAKLAVA EXTRA,Call Center
-1,20024263,MIXED BAKLAVA EXTRA,TAKE AWAY
-1,20024263,Kashta Aside,TAKE AWAY
-1,20024263,MAFROUKEH,TAKE AWAY
-2,20024264,MIXED BAKLAVA EXTRA,TAKE AWAY
-2,20024264,MAAMOUL PISTACHIO + WALNUT MINI,TAKE AWAY
-1,20024271,MIXED BAKLAVA EXTRA,TAKE AWAY
-1,20024271,MIXED BAKLAVA EXTRA,TAKE AWAY
-1,20024271,MIXED BAKLAVA EXTRA,TAKE AWAY
-1,20024271,MIXED BAKLAVA EXTRA,TAKE AWAY
-1,20024271,MIXED BAKLAVA EXTRA,TAKE AWAY
-1,20024271,MIXED BAKLAVA EXTRA,TAKE AWAY
-1,20024271,TIN PACKAGE 1 KG,TAKE AWAY
-1,20024271,TIN PACKAGE 1 KG,TAKE AWAY
-1,20024271,TIN PACKAGE 1 KG,TAKE AWAY
-1,20024271,TIN PACKAGE 1 KG,TAKE AWAY
-1,20024271,TIN PACKAGE 1 KG,TAKE AWAY
-1,20024271,TIN PACKAGE 1 KG,TAKE AWAY
-1,20024273,MIXED BAKLAVA EXTRA,TAKE AWAY
-1,20024273,MIXED BAKLAVA EXTRA,TAKE AWAY
-0.5,20024273,MIXED BAKLAVA EXTRA,TAKE AWAY
-1,20024273,MIXED BAKLAVA EXTRA,TAKE AWAY
-1.41,20024278,MIXED BAKLAVA EXTRA,TAKE AWAY
-1,20024315,MIXED BAKLAVA EXTRA,TAKE AWAY
-1,1275628,DEL 1.0$,Call Center
-1,1275759,MAAMOUL CHOC COCK /TIN,TABLES
-1,1275759,MAAMOUL CHOC COCK/PKT,TABLES
-1,1278089,MIXED BAKLAVA EXTRA,DELIVERY
-1,1278089,MIXED BAKLAVA EXTRA,DELIVERY
-1,1278089,Kashta Aside,DELIVERY
-1,1278089,Kashta Aside,DELIVERY
-1,1278089,MAFROUKEH,DELIVERY
-1,1278089,MAFROUKEH,DELIVERY
-1,20024396,MIXED BAKLAVA EXTRA,DELIVERY
-1,20024396,MIXED BAKLAVA EXTRA,DELIVERY
-1,20024396,MIXED BAKLAVA EXTRA,DELIVERY
-1,20024414,MIXED BAKLAVA EXTRA,TAKE AWAY
-1,1279302,KAAK MAFROUKEH,TABLES
-1,1279302,JAZARIYEH/PLT,TABLES
-2,1275157,HALEWET EL JEBEN/PLT,TABLES
-1,20024411,ZNOUD EL SET/PLT,TAKE AWAY
-2,20024411,Ice Cream 1 Scoop ,TAKE AWAY
-1,20024411,MAAMOUL KASHTA RASPBERRY,TAKE AWAY
-1,20024411,MAAMOUL KASHTA CHOCOLATE,TAKE AWAY
-1,1276684,LAHM B AAJIN/PLT,TABLES
-1,1278016,MAFROUKEH ALMOND + PISTACHIO/PLT,TABLES
-1,20024299,CHOCOLATE LOLLIPOP,TAKE AWAY
-1,20024299,Mixed Baklava /PKT,TAKE AWAY
-1,20024299,GIFT BAG CARTOON MEDIUM,TAKE AWAY
-1,20024299,PETIT FOUR EXTRA LARGE/PKT,TAKE AWAY
-1,20024299,RICHARD/PC,TAKE AWAY
-20,1277303,EMPTY KAAK FREE,WhatsApp
-1,1277303,DEL 1.0$,WhatsApp
-1,1277303,SUGAR FREE SYRUP 200G/PKT,WhatsApp
-1,1277303,KNEFEH KASHTA SEDER N:4,WhatsApp
-1,1277303,ALUMINIUM N:5,WhatsApp
-2,20024251,KAAK KNEFEH CHEESE,TAKE AWAY
-1.25,20024251,BAKLAVA CASHEW,TAKE AWAY
-1.25,20024251,BAKLAVA CASHEW,TAKE AWAY
-2,20024259,KAAK KNEFEH CHEESE,TAKE AWAY
-1,20024259,CROISSANT CHEESE W.S,TAKE AWAY
-1,1272430,KAAK KNEFEH CHEESE,TABLES
-1,20024319,KAAK KNEFEH CHEESE,TAKE AWAY
-1,20024334,KAAK KNEFEH CHEESE,TAKE AWAY
-1,20024338,Kashta Aside,TAKE AWAY
-0.5,20024338,JAZARIYEH MAALOUFEH,TAKE AWAY
-0.5,20024338,HALEWET EL JEBEN,TAKE AWAY
-1,20024249,HALEWET EL JEBEN LAF,TAKE AWAY
-1,20024249,MAAMOUL BAR W.S/PC,TAKE AWAY
-1,20024249,SABLE CHOCOLATE W.S/PC,TAKE AWAY
-1,20024249,SABLE CHOCOLATE W.S/PC,TAKE AWAY
-1,1270464,LAHM B AAJIN/PLT,TABLES
-0.5,20024253,BASMA COLD/KG,TAKE AWAY
-10,1270766,LAHM B AAJIN SQUARE/PC,E-Sales WEB
-1,1270766,Hot,E-Sales WEB
-1,1270766,DEL 3.5$,E-Sales WEB
-1,1270766,N.B.,E-Sales WEB
-3,1270766,W/ VEGETABLES BIG,E-Sales WEB
-1,1270766,MAFROUKEH TA/PLT,E-Sales WEB
-1,1270766,W/ POMEGRENATE MOLLASSES,E-Sales WEB
-10,1270766,CUP CAKE CHOCOLATE CHIP,E-Sales WEB
-1,1270766,HALEWET EL JEBEN TA/PLT,E-Sales WEB
-1,1270766,CHRISTMAS LOG,E-Sales WEB
-1,1270766,GINGER BREAD COOKIES,E-Sales WEB
-1,1270766,CHOCOLATE TREE BAG,E-Sales WEB
-1,1270766,CHOCOLATE STAR BAG,E-Sales WEB
-1,1270766,BAG COOKIES CHRISTMAS,E-Sales WEB
-24,1275098,LAHM B AAJIN SQUARE/PC,Call Center
-24,1275098,LAHM B AAJIN SQUARE/PC,Call Center
-4,1275098,W/ POMEGRENATE MOLLASSES,Call Center
-0.5,20024219,MAFROUKEH,TAKE AWAY
-1,20024219,Kashta on Top ,TAKE AWAY
-1,20024412,MAFROUKEH,TAKE AWAY
-1,20024412,Kashta on Top ,TAKE AWAY
-5,1275269,JAZARIYEH MAALOUFEH,DELIVERY
-0.5,20024367,MIXED BAKLAVA SUGAR FREE,TAKE AWAY
-1,20024367,WARD EL SHAM,TAKE AWAY
-1.5,20024336,BAKLAVA CASHEW,TAKE AWAY
-1,1273399,MAFROUKEH PISTACHIO,DELIVERY
-2,1278780,MIXED BAKLAVA REGULAR SAFAR,Call Center
-1,1278986,DEL 3.5$,Call Center
-1,1278986,N.B.,Call Center
-0.5,1278986,KARBOUJ MAD PISTACHIO,Call Center
-0.5,1278986,KARBOUJ MAD WALNUT,Call Center
-1,1278986,MOMS ROSE,Call Center
-1,1273483,N.B.,Call Center
-1,1273483,DELICE FRAISE N:4,Call Center
-1,1274294,N.B.,WhatsApp
-1,1274294,PLEXI SHAPE FOR CAKE,WhatsApp
-1,1274294,ROYALE N:1,WhatsApp
-1,1277541,N.B.,WhatsApp
-1,1277541,N.B.,WhatsApp
-1,1277541,FORET NOIRE N:1,WhatsApp
-1,1277541,FORET NOIRE N:1,WhatsApp
-1,1277541,DEL 2.0$,WhatsApp
-1,1272168,W/ VEGETABLES BIG,DELIVERY
-1,1272168,W/ VEGETABLES BIG,DELIVERY
-2,20024406,WARD EL SHAM,TAKE AWAY
-1,20024205,CROISSANT KNEFEH PLAIN,TAKE AWAY
-0.7,1277121,MIXED BAKLAVA REGULAR,DELIVERY
-1,1277121,TIN PACKAGE 0.5 KG,DELIVERY
-1,20024228,MAFROUKEH TA/PLT,TAKE AWAY
-4,1274005,MAFROUKEH TA/PLT,Call Center
-1,1274005,DEL 2.0$,Call Center
-1,20024304,DEL 1.0$,E-Sales WEB
-1,20024304,CAKE OF LOVE RASPBERRY 4 PRSN,E-Sales WEB
-1,20024229,MIXED BAKLAVA/PLT,TAKE AWAY
-1,1276248,DEL 2.0$,E-Sales WEB
-1,1276248,CORTINA 6 PRSN,E-Sales WEB
-1,1278483,DEL 2.0$,Call Center
-1,1278483,DELICE FRAISE 6 PRSN,Call Center
-1,20024317,ICE CREAM 5 SCOOP,TAKE AWAY
-1,20024384,DEL 5.0$,Call Center
-1,20024384,MIXED ORIENTAL CAKE N:1,Call Center
-1,1277320,NOGA MIX/SMALL PKT,WhatsApp
-0.5,1279140,MAAMOUL MAD MIXED,Call Center
-2,20024322,GATEAU GLACE ROYAL CHOCOLATE/PC,TAKE AWAY
-1,20024322,GATEAU GLACE OREO,TAKE AWAY
-1,1277148,LOVE TOWER,WhatsApp
,,,
,,,
-1,1272539,MIXED BAKLAVA EXTRA,Call Center
-1,1272539,TIN PACKAGE 2 KG,Call Center
-1,1275827,MIXED BAKLAVA EXTRA SAFAR,DELIVERY
-0.25,1275827,BASMA COLD/KG,DELIVERY
-0.5,1275827,MAFROUKEH PISTACHIO,DELIVERY
-1,1275827,TIN PACKAGE 2 KG,DELIVERY
-1,1275827,TIN PACKAGE 2 KG,DELIVERY
-1,1275827,TIN PACKAGE 2 KG,DELIVERY
-1,1275827,BORMA PISTACHIO SAFAR,DELIVERY
-1,1275827,BORMA SAFAR,DELIVERY
-1,1276583,MAFROUKEH ALMOND + PISTACHIO/PLT,TABLES
-1,20024211,ADD SUGAR FREE SYRUP,TAKE AWAY
-1,20024211,KAAK KNEFEH CHEESE,TAKE AWAY
-1,20024211,KAAK KNEFEH CHEESE,TAKE AWAY
-1,20024211,CROISSANT KNEFEH CHEESE,TAKE AWAY
-1,1270829,ADD SUGAR FREE SYRUP,TABLES
-0.2,20024422,ADD SUGAR FREE SYRUP,TAKE AWAY
-0.5,20024422,HALEWET EL JEBEN LAF,TAKE AWAY
-0.5,20024422,HALEWET EL JEBEN,TAKE AWAY
-1,1273955,ZNOUD EL SET,DELIVERY
-1,1273955,MAFROUKEH,DELIVERY
-1,1273955,DEL 3.5$,DELIVERY
-1,1273955,Kashta on Top ,DELIVERY
-1,1273966,ZNOUD EL SET,Call Center
-1,1273966,MAFROUKEH,Call Center
-1,1273966,DEL 3.5$,Call Center
-1,1273966,N.B.,Call Center
-1,1270026,COMPLIMENTARY KNIFE,DELIVERY
-1,1270026,MOUSSE CARAMEL N:0,DELIVERY
-1,1276212,COMPLIMENTARY KNIFE,DELIVERY
-1,1276212,N.B.,DELIVERY
-1,1276212,MOUSSE CHOCOLATE N:0,DELIVERY
-1,1278165,COMPLIMENTARY KNIFE,DELIVERY
-1,1278165,FORET BLANCHE EXOTIQUE N:1,DELIVERY
-1,20024404,COMPLIMENTARY KNIFE,TAKE AWAY
-0.5,20024404,MIXED BAKLAVA EXTRA,TAKE AWAY
-1,20024404,CORTINA N:0,TAKE AWAY
-3,20024418,KAAK KNEFEH KASHTA,TAKE AWAY
-1,20024418,WARD EL SHAM/PLT,TAKE AWAY
-3,20024418,MIXED BAKLAVA SUGAR FREE MINI /PKT,TAKE AWAY
-1,20024418,KAAK KNEFEH CHEESE,TAKE AWAY
-1,20024418,HALEWET EL JEBEN LAF,TAKE AWAY
-1,20024418,MAFROUKEH TA/PLT,TAKE AWAY
-1,20024418,Maamoul Mixed/PKT,TAKE AWAY
-1.5,1270238,MCHAKAL KASHTA,DELIVERY
-1.5,1270238,MCHAKAL KASHTA,DELIVERY
-0.5,1270238,MCHAKAL KASHTA,DELIVERY
-0.5,1270238,MCHAKAL KASHTA,DELIVERY
-2,1275469,LAHM B AAJIN/PLT,TABLES
-2,20024217,MIXED BAKLAVA EXTRA,TAKE AWAY
-2,20024217,MIXED BAKLAVA EXTRA,TAKE AWAY
-0.452,20024217,MAAMOUL PISTACHIO MINI,TAKE AWAY
-1,20024222,MIXED BAKLAVA EXTRA,TAKE AWAY
-6,20024239,MIXED BAKLAVA EXTRA,TAKE AWAY
-1,1272871,MIXED BAKLAVA EXTRA,DELIVERY
-1,1272871,KNEFEH CHEESE,DELIVERY
-5,1272871,EMPTY KAAK FREE,DELIVERY
-0.85,1274369,KNEFEH CHEESE,TABLES
-4.25,1274369,EMPTY KAAK FREE,TABLES
-1,1275655,MIXED BAKLAVA EXTRA,DELIVERY
-1,1275655,MIXED BAKLAVA PREMIUM,DELIVERY
-1,1275655,MAAMOUL PISTACHIO MINI,DELIVERY
-0.5,20024376,MIXED BAKLAVA EXTRA,TAKE AWAY
-1,1277481,MCHAKAL KASHTA/PLT,Call Center
-1,1277481,KNEFEH CHEESE/PLT TA,Call Center
-1,1277481,DEL 0.5$,Call Center
-1,1273963,KNEFEH KASHTA TA/PLT,Call Center
-1,1273963,TOPPING CHOCOLATE,Call Center
-1,1273963,DEL 2.0$,Call Center
-0.3,20024318,KNEFEH CHEESE,TAKE AWAY
-0.2,20024318,KNEFEH CHEESE,TAKE AWAY
-1,20024318,EMPTY KAAK FREE,TAKE AWAY
-1.5,20024318,EMPTY KAAK FREE,TAKE AWAY
-1,20024318,EMPTY KAAK FREE,TAKE AWAY
-0.2,20024318,KNEFEH KASHTA,TAKE AWAY
-1,20024318,KASHTA LAVA,TAKE AWAY
-2.5,20024214,EMPTY KAAK FREE,TAKE AWAY
-0.5,20024214,KNEFEH KASHTA,TAKE AWAY
-3,20024214,EMPTY ARABIC KAAK,TAKE AWAY
-1,20024246,KAAK KNEFEH CHEESE,TAKE AWAY
-1,20024246,LAHM B AAJIN/PLT,TAKE AWAY
-1,20024246,LAHM B AAJIN/PLT,TAKE AWAY
-1,20024246,MAFROUKEH TA/PLT,TAKE AWAY
-1,20024339,KAAK KNEFEH CHEESE,TAKE AWAY
-1,20024339,KAAK KNEFEH CHEESE FRANJI EXTRA,TAKE AWAY
-1,20024339,KAAK KNEFEH CHEESE FRANJI EXTRA,TAKE AWAY
-1,20024416,ICE CREAM 2 SCOOP,TAKE AWAY
-1,20024241,BAKLAVA/PLT,TAKE AWAY
-0.0001,1277188,MAFROUKEH,Call Center
-1,1277188,DEL 0.5$,Call Center
-1.25,20024231,BAKLAVA CASHEW,TAKE AWAY
-0.86,1279595,HALEWET EL JEBEN PLAIN W/SUGAR SYRUP,DELIVERY
-1,1279595,SPECIAL PACKAGE TUPPERWARE 1 KG,DELIVERY
